,importance
sku_concentration,7280.4
avg_trip_distance,6598.2
order_inflow_15m_scenario_std,6269.2
battery_mean_scenario_std,6259.0
order_inflow_15m_scenario_mean,6212.2
congestion_score_scenario_mean,5478.6
robot_active_scenario_mean,5417.0
battery_mean_scenario_mean,5261.2
layout_id_target_enc,5187.6
robot_active_scenario_std,5013.2
low_battery_ratio_scenario_std,4545.8
low_battery_ratio_scenario_mean,4358.2
congestion_score_scenario_std,4224.2
zone_dispersion,3633.2
avg_items_per_order,3558.0
manual_override_ratio,3373.0
layout_compactness,3287.4
aisle_width_avg,3171.2
ceiling_height_m,3111.6
pack_station_per_area,3078.6
fire_sprinkler_count,2962.6
pack_station_count,2899.8
building_age_years,2836.0
one_way_ratio,2793.8
route_constraint,2748.6
floor_area_sqm,2730.0
aisle_compactness,2673.0
charger_ratio,2589.4
floor_area_per_robot,2565.0
intersection_density,2490.2
intersection_count,2440.4
robot_total,2223.2
inflow_per_station,1943.6
battery_std,1567.4
cold_chain_ratio,1531.4
charger_count,1447.8
pack_utilization,1421.6
emergency_exit_count,1398.0
barcode_read_success_rate,1370.2
air_quality_idx,1360.0
warehouse_temp_avg,1352.4
lighting_level_lux,1339.6
humidity_pct,1333.2
safety_score_monthly,1321.8
hvac_power_kw,1294.6
co2_level_ppm,1293.2
floor_vibration_idx,1286.8
precipitation_mm,1277.4
pick_list_length_avg,1276.6
ups_battery_pct,1275.4
external_temp_c,1273.4
ambient_noise_db,1270.8
return_order_ratio,1268.0
wms_response_time_ms,1267.6
vertical_utilization,1261.2
wind_speed_kmh,1259.6
wifi_signal_db,1256.0
network_latency_ms,1225.8
scanner_error_rate,1212.4
lighting_zone_variance,1189.2
bulk_order_ratio,1164.2
storage_density_pct,1156.4
worker_avg_tenure_months,1155.2
inventory_turnover_rate,1155.2
avg_idle_duration_min,1150.2
unique_sku_15m,1144.8
path_optimization_score,1136.2
racking_height_avg_m,1133.6
express_lane_util,1123.6
robot_calibration_score,1114.0
pallet_wrap_time_min,1101.2
urgent_order_ratio,1079.6
backorder_ratio,1079.4
charge_efficiency_pct,1059.2
cross_dock_ratio,1056.6
cold_storage_temp_c,1055.2
agv_task_success_rate,1053.0
loading_dock_util,1050.6
avg_package_weight_kg,1035.6
packaging_material_cost,1010.8
daily_forecast_accuracy,1004.8
quality_check_rate,999.6
dock_to_stock_hours,987.8
outbound_truck_wait_min,962.6
layout_group,940.8
staging_area_util,940.8
conveyor_speed_mps,903.8
aisle_traffic_score,879.6
heavy_item_ratio,879.0
kpi_otd_pct,876.6
prev_shift_volume,875.4
zone_temp_variance,873.2
fleet_age_months_avg,858.0
battery_cycle_count_avg,834.4
robot_idle,833.0
label_print_queue,828.6
max_zone_density,811.0
robot_firmware_update_days,807.4
maintenance_schedule_score,803.8
shift_handover_delay_min,799.2
intersection_wait_time_avg,791.0
sort_accuracy_pct,764.4
charger_load,700.0
order_inflow_15m,667.0
robot_active_roll4_mean,650.4
active_area_ratio,636.2
robot_utilization,630.8
shift_hour,564.8
staff_on_floor,555.8
order_wave_count,551.4
day_of_week,538.8
battery_stress,522.6
congestion_score,512.8
order_inflow_15m_lag1,467.2
battery_mean,455.2
battery_mean_diff1,445.8
layout_type_enc,431.2
forklift_active_count,353.6
robot_active_roll3_mean,349.8
order_inflow_15m_roll4_max,339.6
congestion_score_lag1,322.2
order_inflow_15m_roll4_mean,314.0
battery_mean_lag1,287.8
congestion_score_roll4_std,279.4
low_battery_ratio,278.0
charging_per_active,267.0
low_battery_ratio_roll4_max,257.6
congestion_score_diff1,256.2
order_inflow_15m_roll4_std,247.0
order_inflow_15m_roll3_std,238.4
battery_mean_roll4_std,238.4
robot_charging,233.2
robot_active_roll4_std,232.6
order_inflow_15m_diff1,224.6
battery_mean_roll4_max,220.0
congestion_score_roll3_std,216.0
robot_active_roll4_max,214.2
congestion_score_roll4_mean,210.6
task_reassign_15m,201.0
order_inflow_15m_lag2,200.2
battery_mean_lag2,197.8
order_inflow_15m_roll3_max,196.0
inflow_x_congestion,195.2
battery_mean_roll3_std,195.2
low_battery_ratio_roll4_std,191.8
battery_mean_roll3_max,190.4
avg_recovery_time,177.2
order_inflow_15m_roll3_mean,175.8
robot_active,171.8
replenishment_overlap,166.0
low_battery_x_battery_mean,160.4
congestion_score_lag2,155.4
congestion_score_roll4_max,151.4
robot_active_roll3_std,146.8
robot_active_roll3_mean_is_missing,136.2
battery_risk,136.2
low_battery_ratio_roll3_std,135.0
congestion_score_roll3_mean,134.6
battery_mean_roll4_mean,128.8
battery_mean_roll3_mean,127.4
robot_active_roll3_max,127.0
congestion_score_roll3_max,124.2
low_battery_ratio_roll4_mean,121.8
avg_charge_wait,114.4
near_collision_15m,111.2
fault_count_15m,109.8
low_battery_ratio_lag1,109.4
low_battery_ratio_roll3_max,91.0
low_battery_ratio_diff1,90.8
blocked_path_15m,74.8
charge_queue_length,74.8
low_battery_ratio_lag2,74.6
low_battery_ratio_roll3_mean,68.2
congestion_score_roll4_mean_is_missing,60.0
low_battery_ratio_roll4_std_is_missing,58.4
congestion_score_roll4_std_is_missing,55.6
congestion_score_roll3_std_is_missing,52.8
robot_active_roll3_std_is_missing,44.4
order_inflow_15m_roll4_std_is_missing,44.2
battery_mean_roll4_std_is_missing,33.6
low_battery_ratio_roll4_mean_is_missing,31.6
order_inflow_15m_roll3_std_is_missing,25.8
robot_active_roll3_max_is_missing,18.8
battery_mean_roll4_mean_is_missing,18.0
congestion_score_roll3_mean_is_missing,17.8
congestion_score_lag1_is_missing,16.4
