,importance
sku_concentration,7097.2
order_inflow_15m_scenario_std,6402.2
avg_trip_distance,6322.2
battery_mean_scenario_std,6224.6
order_inflow_15m_scenario_mean,6198.6
robot_active_scenario_mean,5688.4
congestion_score_scenario_mean,5304.2
battery_mean_scenario_mean,5264.4
robot_active_scenario_std,4924.8
low_battery_ratio_scenario_std,4503.0
layout_cluster_id,4437.4
low_battery_ratio_scenario_mean,4393.6
congestion_score_scenario_std,4346.2
zone_dispersion,3649.0
avg_items_per_order,3342.6
layout_compactness,3283.4
manual_override_ratio,3219.8
pack_station_per_area,3206.6
aisle_width_avg,3082.8
pack_station_count,3048.6
ceiling_height_m,3048.2
fire_sprinkler_count,2974.2
one_way_ratio,2825.0
building_age_years,2807.4
floor_area_sqm,2800.8
route_constraint,2715.0
aisle_compactness,2682.8
floor_area_per_robot,2609.8
charger_ratio,2600.6
intersection_density,2466.2
layout_cluster_target_enc,2406.0
intersection_count,2403.4
robot_total,2267.0
inflow_per_station,1755.0
cold_chain_ratio,1555.0
battery_std,1518.0
charger_count,1436.2
emergency_exit_count,1366.6
air_quality_idx,1325.4
precipitation_mm,1317.2
pack_utilization,1299.8
lighting_level_lux,1292.0
humidity_pct,1289.0
barcode_read_success_rate,1284.8
hvac_power_kw,1278.8
warehouse_temp_avg,1272.4
safety_score_monthly,1266.0
external_temp_c,1265.8
ups_battery_pct,1265.2
pick_list_length_avg,1257.2
vertical_utilization,1254.2
co2_level_ppm,1243.2
wind_speed_kmh,1229.8
wms_response_time_ms,1203.6
wifi_signal_db,1193.0
return_order_ratio,1191.6
scanner_error_rate,1184.0
ambient_noise_db,1183.4
unique_sku_15m,1133.4
inventory_turnover_rate,1123.4
lighting_zone_variance,1122.2
avg_idle_duration_min,1114.8
storage_density_pct,1088.2
urgent_order_ratio,1081.0
backorder_ratio,1079.8
path_optimization_score,1078.8
bulk_order_ratio,1074.6
express_lane_util,1060.0
pallet_wrap_time_min,1055.2
racking_height_avg_m,1053.2
robot_calibration_score,1044.2
infra_stability_risk,1038.8
charge_efficiency_pct,1013.8
cross_dock_ratio,1003.4
agv_task_success_rate,999.4
cold_storage_temp_c,999.0
network_bottleneck,991.8
loading_dock_util,981.6
quality_check_rate,978.8
packaging_material_cost,977.4
sensor_noise_stress,967.6
avg_package_weight_kg,951.2
dock_to_stock_hours,936.6
outbound_truck_wait_min,935.8
daily_forecast_accuracy,924.0
worker_avg_tenure_months,920.2
staging_area_util,908.2
conveyor_speed_mps,879.8
robot_idle,863.0
heavy_item_ratio,845.8
staff_x_low_tenure,842.2
zone_temp_variance,839.6
floor_vibration_idx,838.6
label_print_queue,830.0
aisle_traffic_score,808.4
fleet_age_months_avg,808.0
prev_shift_volume,805.0
kpi_otd_pct,805.0
robot_firmware_update_days,795.6
shift_handover_delay_min,753.8
maintenance_schedule_score,741.4
max_zone_density,740.4
battery_cycle_count_avg,734.0
intersection_wait_time_avg,732.6
network_latency_ms,714.8
sort_accuracy_pct,693.0
time_idx,687.2
order_inflow_15m,646.0
charger_load,621.4
active_area_ratio,602.2
robot_utilization,564.8
shift_hour,558.0
day_of_week,552.8
order_wave_count,529.8
robot_active_roll5_mean,500.8
order_inflow_15m_lag1,488.6
congestion_score,487.0
staff_on_floor,459.0
human_robot_density,457.4
latency_per_active_robot,448.2
battery_mean_diff1,446.6
cumulative_inflow,444.0
battery_stress,430.2
layout_type_enc,387.6
order_inflow_15m_roll5_mean,380.8
order_inflow_15m_roll5_max,373.8
battery_mean,332.8
forklift_active_count,331.2
robot_active_roll3_mean,307.0
robot_active_roll4_mean,293.2
low_battery_ratio_roll5_max,286.2
low_tenure_risk,280.6
congestion_score_lag1,260.4
order_inflow_15m_roll5_std,239.0
congestion_score_roll5_std,235.4
order_inflow_15m_roll4_mean,230.8
order_inflow_15m_diff1,226.6
robot_active_roll5_std,221.6
robot_charging,219.6
cumulative_inflow_lag1,219.4
battery_mean_roll5_std,214.4
robot_active_roll5_max,214.0
task_reassign_15m,213.8
battery_mean_lag1,213.2
order_inflow_15m_roll4_max,211.8
charging_per_active,203.2
congestion_score_roll5_mean,203.2
battery_mean_roll5_max,200.4
congestion_score_roll5_max,177.6
congestion_score_diff1,176.8
low_battery_ratio,172.6
avg_recovery_time,170.6
order_inflow_15m_roll3_max,165.0
inflow_x_congestion,162.8
battery_mean_roll4_std,159.2
congestion_score_roll4_std,158.8
battery_mean_roll3_std,158.6
congestion_score_roll4_mean,153.8
order_inflow_15m_roll3_mean,151.6
robot_active_roll4_std,150.8
order_inflow_15m_roll4_std,147.2
battery_mean_roll4_max,144.8
robot_active,144.2
order_inflow_15m_roll3_std,144.2
order_inflow_15m_lag2,143.6
low_battery_ratio_roll5_std,131.0
robot_active_roll4_max,130.6
battery_mean_roll3_max,127.4
congestion_score_roll3_std,126.8
congestion_score_lag2,122.2
low_battery_x_battery_mean,119.2
congestion_score_roll3_mean,117.0
fault_count_15m,113.4
battery_risk,112.8
congestion_score_roll4_max,112.2
robot_active_roll3_max,111.2
battery_mean_lag2,110.2
avg_charge_wait,109.6
low_battery_ratio_roll5_mean,108.2
low_battery_ratio_roll4_max,102.0
replenishment_overlap,101.6
battery_mean_roll3_mean,100.0
low_battery_ratio_roll3_std,99.0
congestion_score_roll3_max,98.6
near_collision_15m,95.4
congestion_persistence,93.6
