,mae_increase
congestion_score_scenario_mean,2.012962725925778
low_battery_ratio_scenario_mean,0.5841939813615138
pack_utilization,0.35854468836732245
inflow_per_station,0.3282601144415569
low_battery_ratio_scenario_std,0.12231087168675714
pack_station_count,0.11119535241481415
max_zone_density,0.0871898048186388
congestion_score_scenario_std,0.07194537439568549
robot_idle,0.07075143711976395
avg_trip_distance,0.06342250116104964
low_battery_ratio_roll5_max,0.04334371333584741
time_idx,0.04084458240316913
charging_per_active,0.028727104977180673
pack_station_per_area,0.022253711780042096
avg_items_per_order,0.022214823971358655
battery_stress,0.017957476205406664
low_battery_ratio_roll4_max,0.014923515009645172
charger_load,0.013048722662553303
battery_mean_scenario_mean,0.012524243797392032
robot_utilization,0.011687078163134856
congestion_vs_scenario_mean,0.011493592937238617
low_battery_ratio_roll5_mean,0.010916614868293095
layout_compactness,0.010869701257337994
robot_active_scenario_mean,0.010045065590039925
cumulative_inflow,0.009710420577935253
battery_mean_scenario_std,0.009410396906334384
low_battery_ratio_roll3_mean,0.008146953678400237
order_inflow_15m,0.007242881357900188
order_inflow_15m_scenario_std,0.00600428557701882
ops_pressure_idx,0.0057546006361093305
congestion_score,0.005694706454296039
intersection_count,0.005403773607961071
battery_risk,0.004957951278337092
battery_mean,0.004793470082024243
outbound_truck_wait_min,0.0042938374784604605
cumulative_inflow_lag1,0.004195983103189249
robot_active_roll5_mean,0.0038592438701439136
robot_active_roll3_mean,0.0037290648621244316
aisle_compactness,0.0037277473076517964
robot_active_roll4_mean,0.0028356138757050786
battery_mean_roll4_mean,0.0027491771165752965
congestion_score_lag2,0.0027263759081996852
battery_mean_roll3_max,0.002558612564726559
battery_mean_roll3_mean,0.0025578869156372974
robot_active_roll4_max,0.0025311752556813616
congestion_score_roll5_mean,0.0025206285425802832
congestion_score_roll4_mean,0.0025010388982433795
layout_pca_2,0.002395642266330711
unique_sku_15m,0.0023511672128737615
packaging_material_cost,0.0023315951950522162
near_collision_15m,0.00231464410727078
avg_idle_duration_min,0.0022774301397081587
battery_mean_roll4_max,0.0022461551819823455
robot_active_roll5_max,0.002181934233592031
urgent_order_ratio,0.002155992661212025
low_battery_x_battery_mean,0.0021251287435539723
battery_mean_roll5_mean,0.0019199908659839338
battery_std,0.0017871232863893027
low_battery_ratio_roll3_max,0.0017278672393690186
low_battery_ratio_roll4_mean,0.0015715126829665138
charger_count,0.0014811524190339043
