,mae_increase
congestion_score_scenario_mean,1.9854626312616244
inflow_per_station,0.4032177946732034
low_battery_ratio_scenario_mean,0.29622214207731545
pack_utilization,0.27220441653195415
pack_station_count,0.1187918329930131
max_zone_density,0.0745216177265533
congestion_score_scenario_std,0.073082776536042
avg_trip_distance,0.07202214186490608
robot_idle,0.06431950672056352
time_idx,0.04325579873910357
low_battery_ratio_roll4_max,0.025732329621700245
low_battery_ratio_scenario_std,0.024383799314975363
battery_stress,0.02408741340499354
avg_items_per_order,0.022935979115571214
charging_per_active,0.021845480990391408
pack_station_per_area,0.01962364887352308
low_battery_x_battery_mean,0.017153479383763326
low_battery_ratio_roll5_max,0.016250084648120833
cumulative_inflow,0.016191481260216634
order_inflow_15m_scenario_mean,0.015533015231074643
robot_utilization,0.013675232699650763
congestion_vs_scenario_mean,0.013311192494048996
layout_compactness,0.01150157890486092
ops_pressure_idx,0.010941837075217009
battery_mean_scenario_mean,0.009871302347939093
battery_mean_scenario_std,0.009145999153316708
congestion_score,0.008179638117029597
battery_mean,0.007882597494580423
robot_active_scenario_mean,0.007187497198630766
low_battery_ratio_roll3_max,0.007022865922872157
robot_active_roll5_mean,0.006580895026012001
charger_load,0.006338330700865313
aisle_compactness,0.005875149304397809
low_battery_ratio_roll5_mean,0.005423123008354125
battery_std,0.005306622587863075
battery_risk,0.005144786973410476
order_inflow_15m,0.00500274423642999
order_inflow_15m_roll5_mean,0.004752041627620329
layout_pca_2,0.00460022994271192
low_battery_ratio,0.003868998019688874
battery_mean_roll3_mean,0.0033523724043789116
battery_mean_roll5_max,0.0032744058425233646
order_inflow_15m_roll5_max,0.0030919560117972367
battery_mean_lag2,0.003041117818382233
charger_ratio,0.0030285180494757924
battery_mean_roll3_max,0.0029746571689788226
battery_mean_roll4_max,0.002947308871036114
order_inflow_15m_scenario_std,0.002944587262279086
robot_active_roll4_mean,0.0029052391178048254
cold_storage_temp_c,0.0028874140241139656
congestion_tenure_weighted,0.002563576606140927
order_inflow_gradient,0.0024905225099267625
battery_mean_roll5_mean,0.0024640225848120423
robot_active,0.0024224505261791762
robot_active_roll3_mean,0.0023909571596476553
battery_mean_lag1,0.002357751387933149
cumulative_inflow_lag1,0.0022909479399952914
battery_mean_roll4_mean,0.0021508681584254674
congestion_score_lag2,0.002130736911079012
congestion_score_lag1,0.0021213886021680395
low_battery_ratio_roll4_mean,0.0019667233091453795
manual_override_ratio,0.001890798154070339
zone_dispersion,0.0018341602058775663
congestion_score_roll3_mean,0.0016565571338631457
order_inflow_15m_roll5_std,0.0016474071012559932
robot_active_roll5_max,0.0016346479142246295
packaging_material_cost,0.0015816368346150966
active_area_ratio,0.001499961614664258
co2_level_ppm,0.0014764288578028584
congestion_score_roll4_mean,0.001472146924417217
emergency_exit_count,0.001426656431132045
congestion_score_roll5_mean,0.0013845806864747345
congestion_score_roll5_std,0.0013349147247936344
congestion_score_roll4_max,0.0013092856679808307
heavy_item_ratio,0.0012692947878445437
order_inflow_15m_roll4_max,0.00122737882956514
order_inflow_15m_roll3_mean,0.00121676117914582
kpi_otd_pct,0.0011888330016898152
robot_active_roll3_max,0.0011113048566961936
order_inflow_15m_lag2,0.00111022503776681
low_battery_ratio_roll5_std_is_missing,0.001065942024922606
robot_active_per_area,0.0010121272656764546
human_robot_density,0.0009072263567801997
robot_active_roll4_max,0.0008681706665658595
low_battery_ratio_lag2,0.0008559617843584277
fire_sprinkler_count,0.0008180413866138991
bulk_order_ratio,0.000815814483738464
congestion_score_roll5_std_is_missing,0.0008120114479162055
one_way_ratio,0.0007704673510602333
pick_list_length_avg,0.000755677707442004
ups_battery_pct,0.0007510931648226915
low_battery_ratio_roll4_mean_is_missing,0.0007264733556056058
order_inflow_15m_roll5_std_is_missing,0.0007025772602595737
robot_charging,0.0006995780220115932
low_battery_ratio_roll5_std,0.0006980765189403826
outbound_truck_wait_min,0.0006589636404381594
dock_to_stock_hours,0.0006563001160806436
staging_area_util,0.0006412745553063814
low_battery_ratio_lag1,0.0006294487391276249
congestion_score_roll4_std_is_missing,0.0005953415723425337
robot_active_roll3_mean_is_missing,0.0005658271771356027
avg_charge_wait,0.0005574295602741586
robot_active_roll5_max_is_missing,0.0005537884926933856
low_battery_ratio_roll4_max_is_missing,0.0005450800992221616
safety_score_monthly,0.0005437319340337865
urgent_order_ratio,0.0005404566522688725
order_inflow_15m_lag1,0.0005403092730045245
lighting_zone_variance,0.0005292298730488199
infra_stability_risk,0.0005059384613197437
fault_count_15m,0.00047742150612783973
charge_efficiency_pct,0.00047651949093108215
battery_mean_roll5_std,0.000471662149164942
robot_active_roll5_std,0.0004688569984026003
agv_task_success_rate,0.00045804811033889337
lighting_level_lux,0.00045172563371664864
low_battery_ratio_roll4_std,0.00044868747815662857
order_inflow_15m_roll3_mean_is_missing,0.0004480970414437735
blocked_path_15m,0.0004458913306244483
congestion_score_roll3_std_is_missing,0.00044497965356526947
robot_active_roll5_mean_is_missing,0.00042631846787166694
order_inflow_15m_roll4_mean,0.00042568851712765365
low_battery_ratio_roll4_std_is_missing,0.00042553101837405904
staff_on_floor,0.0004024519876875132
low_battery_ratio_roll3_max_is_missing,0.0003988212847385597
low_battery_ratio_roll3_std,0.000385268818922313
latency_per_active_robot,0.0003832182675029827
air_quality_idx,0.00037366009401829103
charger_count,0.0003612541852984208
robot_active_roll3_max_is_missing,0.0003595640259863586
order_inflow_15m_roll5_mean_is_missing,0.0003477402191478518
robot_active_roll3_std_is_missing,0.00031929230326710467
staff_x_low_tenure,0.0003189306043935858
battery_mean_roll3_std,0.000317715861616108
congestion_score_roll4_max_is_missing,0.00029540284416817997
aisle_width_avg,0.000291708262119883
scanner_error_rate,0.0002825855196331162
route_constraint,0.00026494811669586227
warehouse_temp_avg,0.0002626597118879914
order_inflow_15m_roll3_max,0.000259957342180428
battery_cycle_count_avg,0.00025921284709617964
path_optimization_score,0.0002445806581210519
floor_area_sqm,0.00024119188974580652
shift_hour_sin,0.00021217457065247913
hvac_power_kw,0.00019807950996231227
avg_recovery_time,0.00019412257112705333
order_inflow_15m_roll4_std,0.0001915516177692922
replenishment_overlap,0.0001831715074622764
avg_idle_duration_min,0.00017107046802067316
loading_dock_util,0.000168548934890822
sort_accuracy_pct,0.00016816069348202234
congestion_score_roll3_max,0.00015578109819180952
battery_mean_roll4_std,0.00014893945217941962
low_battery_ratio_lag2_is_missing,0.00014832995508307079
humidity_pct,0.00013657510588771515
robot_total,0.00012158394866013111
low_tenure_risk,0.00011912212921494358
